ECE Drive Cycle																																		
BPM																																		
Universal_Format																																		
Duty_Cycle_Definition=0																																		
Duty_Cycle_Input_Type=1																																		
Duty_Cycle_Drive_Type=0																																		
Duty_Cycle_DC_Bus_Voltage_Definition=0																																		
Duty_Cycle_Data=																																		
Period	Elapsed Time	Time	Points	Torque [Start]	Torque [End]	Current [Start]	Current [End]	Armature Copper DC	Armature Copper AC	Aux Armature Copper	Field Copper	Stator Back Iron	Stator Tooth	Magnet	Rotor Back Iron	Embedded Magnet Pole	Rotor Tooth	Stray Load Stator Iron	Stray Load Rotor Iron	Stray Load Armature Copper	Stray Load Field Copper	Friction Front Bearing	Friction Rear Bearing	Brush Friction	Brush Electrical	Windage	Windage Exterior Fan	Encoder	Speed [Start]	Speed [End]	Fault	Ambient Temp [End]	Altitude [End]	DC Bus Voltage
82	82	1	1	-19.33030303	-81.38484848	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	727.2424242	188.7575758	0	0	0	0
83	83	1	1	-81.38484848	-120.9151515	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.7575758	176.6060606	0	0	0	0
84	84	1	1	-120.9151515	-126.4875	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176.6060606	641.8181818	0	0	0	0
85	85	1	1	-126.4875	-125.2454545	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641.8181818	1238.28125	0	0	0	0
86	86	1	1	-125.2454545	-123.575	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1238.28125	1839.363636	0	0	0	0
87	87	1	1	-123.575	-120.8515152	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1839.363636	2411.5625	0	0	0	0
88	88	1	1	-120.8515152	-117.7757576	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2411.5625	2975.69697	0	0	0	0
89	89	1	1	-117.7757576	-115.1352941	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2975.69697	3521.181818	0	0	0	0
90	90	1	1	-115.1352941	-112.8454545	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3521.181818	4054.5	0	0	0	0
91	91	1	1	-112.8454545	-112.7454545	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4054.5	4570.969697	0	0	0	0
92	92	1	1	-112.7454545	-112.5	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4570.969697	5073.424242	0	0	0	0
93	93	1	1	-112.5	-110.7757576	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5073.424242	5571.939394	0	0	0	0
94	94	1	1	-110.7757576	-104.4939394	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5571.939394	6064.363636	0	0	0	0
95	95	1	1	-104.4939394	-95.82121212	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6064.363636	6529.484848	0	0	0	0
96	96	1	1	-95.82121212	-86.69117647	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6529.484848	6960.878788	0	0	0	0
97	97	1	1	-86.69117647	-79.17878788	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6960.878788	7343.117647	0	0	0	0
98	98	1	1	-79.17878788	-73.56363636	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7343.117647	7680.333333	0	0	0	0
99	99	1	1	-73.56363636	-68.78787879	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7680.333333	7975.30303	0	0	0	0
100	100	1	1	-68.78787879	-65.34242424	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7975.30303	8240.545455	0	0	0	0
101	101	1	1	-65.34242424	-62.16060606	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8240.545455	8486.333333	0	0	0	0
102	102	1	1	-62.16060606	-58.490625	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8486.333333	8712.787879	0	0	0	0
103	103	1	1	-58.490625	-55.98181818	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8712.787879	8916.71875	0	0	0	0
104	104	1	1	-55.98181818	-53.55151515	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8916.71875	9107.727273	0	0	0	0
